,w,c
0,name,243
1,provider,225
2,film,117
3,ga,88
4,gak,87
5,aja,79
6,nya,78
7,ya,75
8,orang,73
9,nonton,49
10,anak,49
11,org,44
12,g,44
13,jelek,42
14,banget,42
15,si,40
16,hitamputiht,40
17,mata,36
18,ilc,33
19,najwa,31
20,kaya,31
21,jaring,31
22,udah,31
23,sih,31
24,bikin,30
25,kalo,30
26,tp,29
27,artis,29
28,kickandy,28
29,lo,27
30,kecewa,27
31,bilang,27
32,lu,27
33,lihat,25
34,tau,24
35,sinyal,24
36,jd,23
37,url,23
38,tv,23
39,metro,22
40,pelakor,22
41,ilctvone,22
42,pake,22
43,boikotprovider,21
44,laki,21
45,liat,21
46,gue,21
47,parah,21
48,suka,20
49,udh,20
50,malu,20
51,laku,20
52,matanajwametrotv,20
53,pakai,20
54,bodoh,19
55,sm,19
56,indonesia,19
57,kuota,19
58,kickandymetrotv,19
59,otak,19
60,sok,18
61,perempuan,18
62,bgt,18
63,biar,18
64,tdk,18
65,acara,18
66,suami,18
67,becus,17
68,bagus,17
69,istri,16
70,dr,16
71,klo,16
72,bego,16
73,manusia,15
74,muka,15
75,kampung,15
76,gitu,15
77,deh,15
78,nyata,14
79,jijik,14
80,jg,14
81,mention,14
82,bs,14
83,emang,14
84,coba,14
85,ngomong,14
86,hidup,14
87,mba,14
88,nama,14
89,gw,14
90,dasar,14
91,user,14
92,bener,13
93,nikah,13
94,lg,13
95,mahal,13
96,pulsa,13
97,ayu,13
98,tonton,13
99,kali,13
100,miris,13
101,dgn,13
102,mah,12
103,buruk,12
104,isi,12
105,harga,12
106,habis,12
107,internet,12
108,dg,12
109,tu,12
110,data,12
111,ama,12
112,tuh,12
113,kayak,12
114,att,12
115,skrg,12
116,sakit,11
117,mati,11
118,lot,11
119,gua,11
120,bayar,10
121,hukum,10
122,ny,10
123,rt,10
124,gin,10
125,hitam,10
126,nih,10
127,bawa,10
128,mulu,10
129,buang,10
130,rusak,10
131,teman,10
132,islam,10
133,jaga,9
134,dunia,9
135,mulut,9
136,ni,9
137,lonte,9
138,aj,9
139,yah,9
140,sampah,9
141,banci,9
142,paket,9
143,kelas,9
144,tolol,9
145,ganggu,9
146,arti,9
147,cepat,9
148,langsung,9
149,tolong,9
150,rumah,9
151,gimana,9
152,benci,9
153,kartini,8
154,enji,8
155,matanajwa,8
156,putih,8
157,gk,8
158,bohong,8
159,krn,8
160,ahok,8
161,pikir,8
162,aneh,8
163,tai,8
164,nagita,8
165,cowok,8
166,jaman,8
167,asa,8
168,suara,8
169,beda,8
170,mbak,8
171,baca,8
172,malam,8
173,kek,8
174,kuat,8
175,main,8
176,jgn,8
177,moga,8
178,product,7
179,ganti,7
180,emg,7
181,tua,7
182,angkat,7
183,rugi,7
184,micin,7
185,via,7
186,mutu,7
187,emosi,7
188,anjing,7
189,urus,7
190,tuhan,7
191,allah,7
192,cerita,7
193,kasi,7
194,kualitas,7
195,norak,7
196,munafik,7
197,nilai,7
198,koneksi,7
199,sesuai,7
200,eh,7
201,setan,7
202,kalah,7
203,hati,7
204,kartu,7
205,kyk,7
206,ken,7
207,murah,7
208,busuk,7
209,dah,7
210,rebut,7
211,penuh,7
212,sah,7
213,agama,7
214,berita,6
215,sedih,6
216,loh,6
217,mummy,6
218,uji,6
219,bicara,6
220,makan,6
221,sbg,6
222,jam,6
223,lelet,6
224,cari,6
225,pny,6
226,undang,6
227,daerah,6
228,boikot,6
229,novel,6
230,gt,6
231,abis,6
232,iya,6
233,hambar,6
234,bukti,6
235,amit,6
236,jual,6
237,bela,6
238,balajaer,6
239,knp,6
240,situ,6
241,uang,6
242,gila,6
243,netizen,6
244,ayo,6
245,nyinyir,6
246,goblok,6
247,masuk,6
248,tenar,6
249,ajar,6
250,salah,6
251,pilih,6
252,sampe,5
253,komen,5
254,takut,5
255,harap,5
256,duh,5
257,muda,5
258,lawan,5
259,negara,5
260,pimpin,5
261,ngatain,5
262,berani,5
263,demo,5
264,hancur,5
265,sayang,5
266,bencong,5
267,cewe,5
268,ah,5
269,hitamputihtrans,5
270,perang,5
271,turun,5
272,msh,5
273,curhat,5
274,akun,5
275,elu,5
276,kenal,5
277,bangsat,5
278,hasil,5
279,sekolah,5
280,sy,5
281,tuju,5
282,pamer,5
283,pinter,5
284,kasihan,5
285,keluarga,5
286,kerja,5
287,trus,5
288,gagal,5
289,nggak,5
290,cocok,5
291,orng,5
292,blm,5
293,cuman,5
294,min,5
295,yaa,5
296,laknat,5
297,hilang,5
298,danur,5
299,mending,5
300,loe,5
301,buah,5
302,sdh,5
303,usak,5
304,ting,5
305,sensasi,5
306,inti,5
307,kesel,5
308,ane,5
309,janda,5
310,minggu,5
311,ampun,5
312,didik,5
313,anies,5
314,kota,5
315,debat,5
316,pacar,5
317,kau,5
318,cewek,5
319,tunggu,5
320,n,5
321,iklan,5
322,lemah,5
323,pesan,4
324,arthur,4
325,cek,4
326,selamat,4
327,guys,4
328,selesai,4
329,sms,4
330,ibadah,4
331,lucu,4
332,pribadi,4
333,susah,4
334,ajah,4
335,drpd,4
336,tangga,4
337,king,4
338,saksi,4
339,lambat,4
340,anis,4
341,bacot,4
342,dengar,4
343,pd,4
344,stabil,4
345,dikit,4
346,umat,4
347,sosmed,4
348,males,4
349,emng,4
350,lagu,4
351,babi,4
352,ceramah,4
353,butuh,4
354,ig,4
355,nyampah,4
356,ko,4
357,trans,4
358,wilayah,4
359,tindak,4
360,mikir,4
361,enak,4
362,ketemu,4
363,batal,4
364,ogah,4
365,trs,4
366,nyesel,4
367,cium,4
368,jdi,4
369,menit,4
370,gaya,4
371,sorry,4
372,karya,4
373,kmrn,4
374,ganteng,4
375,kador,4
376,media,4
377,miskin,4
378,sumpah,4
379,kere,4
380,cinlok,4
381,lbh,4
382,larang,4
383,pas,4
384,wanita,4
385,ngaku,4
386,nyonyiah,4
387,abal,4
388,enggk,4
389,dukung,4
390,wajar,4
391,musuh,4
392,dese,4
393,paham,4
394,karma,4
395,nyadar,4
396,maksud,4
397,bunda,4
398,sistem,4
399,sombong,4
400,jalan,4
401,km,4
402,metrotv,4
403,mulan,4
404,haha,4
405,bnyk,4
406,h,4
407,suci,4
408,taik,4
409,tetep,4
410,ih,4
411,malas,4
412,nomor,4
413,tinggal,4
414,masyarakat,4
415,hak,4
416,jahat,4
417,cantik,4
418,asli,4
419,karna,4
420,beli,4
421,lupa,4
422,andy,4
423,jelekk,3
424,jujur,3
425,kucing,3
426,gatel,3
427,nyinyirin,3
428,sempurna,3
429,berat,3
430,ngurus,3
431,gada,3
432,pantes,3
433,ksh,3
434,alam,3
435,utk,3
436,kegatelan,3
437,gede,3
438,nyindir,3
439,keras,3
440,muncul,3
441,temu,3
442,panas,3
443,duit,3
444,sang,3
445,pdhl,3
446,criticaleleven,3
447,juara,3
448,live,3
449,amora,3
450,kasih,3
451,duluan,3
452,ertong,3
453,japok,3
454,rmh,3
455,sadar,3
456,area,3
457,kd,3
458,ekspektasi,3
459,buku,3
460,mu,3
461,maaf,3
462,cinta,3
463,besok,3
464,medsos,3
465,publik,3
466,bngt,3
467,perintah,3
468,dihack,3
469,layar,3
470,mohon,3
471,anjlok,3
472,wkwk,3
473,surga,3
474,lokal,3
475,hadap,3
476,plagiat,3
477,la,3
478,sist,3
479,jengkel,3
480,cireng,3
481,heran,3
482,alas,3
483,jga,3
484,aktor,3
485,dapet,3
486,produk,3
487,ttg,3
488,ttp,3
489,oplas,3
490,serius,3
491,citra,3
492,alhamdulillah,3
493,ngerebut,3
494,langgan,3
495,emak,3
496,yak,3
497,gampang,3
498,buka,3
499,tokoh,3
500,hina,3
501,internetnya,3
502,jakarta,3
503,lte,3
504,youtube,3
505,syarat,3
506,ngapain,3
507,fans,3
508,ancur,3
509,layan,3
510,fitnah,3
511,namecare,3
512,henti,3
513,mw,3
514,pulang,3
515,stress,3
516,hamil,3
517,anjir,3
518,muljem,3
519,baju,3
520,kacau,3
521,tega,3
522,dada,3
523,keluh,3
524,ngga,3
525,tipu,3
526,nnton,3
527,sahabat,3
528,dangdut,3
529,najis,3
530,dn,3
531,tampil,3
532,sblm,3
533,bkin,3
534,basuki,3
535,lho,3
536,ribut,3
537,bibir,3
538,suarahatiahok,3
539,timur,3
540,moral,3
541,rusuh,3
542,nyanyi,3
543,percaya,3
544,rakyat,3
545,usaha,3
546,internetan,3
547,tarif,3
548,doang,3
549,konvensional,3
550,bayang,3
551,jaer,3
552,hahaha,3
553,marah,3
554,mecin,3
555,sma,3
556,telpon,3
557,smua,3
558,goyang,3
559,bidik,3
560,tidur,3
561,nyedot,3
562,nomer,3
563,super,3
564,pki,3
565,bahas,3
566,darurat,3
567,olah,3
568,tayang,3
569,noh,2
570,papan,2
571,hahahahaha,2
572,py,2
573,resiko,2
574,sukses,2
575,ikan,2
576,mlh,2
577,kuasa,2
578,ajaaa,2
579,nol,2
580,beneran,2
581,ntar,2
582,hehe,2
583,nanya,2
584,one,2
585,lakik,2
586,bully,2
587,bini,2
588,lacur,2
589,uda,2
590,masak,2
591,kuin,2
592,tanggung,2
593,kah,2
594,hadeh,2
595,hart,2
596,panggil,2
597,valakor,2
598,texas,2
599,mantan,2
600,pecun,2
601,milih,2
602,billy,2
603,oh,2
604,nabi,2
605,kemaren,2
606,kesini,2
607,buk,2
608,fikir,2
609,depok,2
610,hujad,2
611,gimik,2
612,gigi,2
613,bahagia,2
614,hujat,2
615,perut,2
616,pengaruh,2
617,aduh,2
618,kga,2
619,ambil,2
620,swamik,2
621,mak,2
622,jijikk,2
623,prempuan,2
624,jilbab,2
625,joget,2
626,kawin,2
627,bala,2
628,songong,2
629,ngaca,2
630,mobil,2
631,maling,2
632,bodong,2
633,v,2
634,buluk,2
635,putus,2
636,wkwkwkwk,2
637,ku,2
638,pesbukers,2
639,govlok,2
640,bebas,2
641,bangsa,2
642,gerak,2
643,puasa,2
644,palsu,2
645,bae,2
646,pemuda,2
647,ubah,2
648,radityadika,2
649,tegak,2
650,pagi,2
651,kamar,2
652,dear,2
653,tanggap,2
654,subuh,2
655,nyaman,2
656,sedot,2
657,sisa,2
658,hoax,2
659,trouble,2
660,sumba,2
661,batas,2
662,solidaritas,2
663,komplain,2
664,php,2
665,gambar,2
666,sandi,2
667,webnya,2
668,dki,2
669,mui,2
670,malang,2
671,milik,2
672,bantu,2
673,remaja,2
674,taruh,2
675,apartemen,2
676,btp,2
677,ngantuk,2
678,kisah,2
679,tato,2
680,mikemarjinal,2
681,bocor,2
682,lulus,2
683,lelah,2
684,najwashihab,2
685,bosan,2
686,lapor,2
687,narasi,2
688,isis,2
689,mimin,2
690,organisasi,2
691,mubazir,2
692,edge,2
693,signal,2
694,berekspektasi,2
695,critical,2
696,eleven,2
697,ale,2
698,anya,2
699,singkat,2
700,alien,2
701,ragu,2
702,akting,2
703,datar,2
704,oke,2
705,sesal,2
706,download,2
707,cema,2
708,nntn,2
709,erti,2
710,kecewaa,2
711,sen,2
712,jijk,2
713,flm,2
714,hangout,2
715,ngehek,2
716,bioskop,2
717,sabar,2
718,bajak,2
719,hooq,2
720,promo,2
721,jati,2
722,tingkat,2
723,sembung,2
724,bangunjiwo,2
725,gb,2
726,viralkan,2
727,brsatu,2
728,ruh,2
729,insya,2
730,operator,2
731,perdana,2
732,dipake,2
733,bonus,2
734,maksa,2
735,team,2
736,payah,2
737,flash,2
738,manfaat,2
739,simpati,2
740,pelan,2
741,ancam,2
742,kickandyshow,2
743,ribet,2
744,bening,2
745,untung,2
746,whatsapp,2
747,bulu,2
748,pepet,2
749,pandang,2
750,siang,2
751,telor,2
752,ketawa,2
753,haruka,2
754,seasia,2
755,biaya,2
756,kejurnas,2
757,roxana,2
758,hitamputih,2
759,sulit,2
760,bahasa,2
761,host,2
762,bangkrut,2
763,mimpi,2
764,paksa,2
765,jabat,2
766,nelen,2
767,posting,2
768,pandji,2
769,kellen,2
770,terima,2
771,jadiin,2
772,klu,2
773,botak,2
774,swt,2
775,wlina,2
776,sirik,2
777,jongos,2
778,tetehlu,2
779,udeh,2
780,brojol,2
781,tolak,2
782,bunmai,2
783,rampas,2
784,comment,2
785,bunyi,2
786,upload,2
787,bangt,2
788,ngerti,2
789,koq,2
790,gara,2
791,korupsi,2
792,veteran,2
793,bang,2
794,habieb,2
795,radikal,2
796,aniesbaswedan,2
797,islamis,2
798,elmu,2
799,bentuk,2
800,padat,2
801,tvonenews,2
802,tampang,2
803,angket,2
804,kpk,2
805,dpr,2
806,kadang,2
807,rajut,2
808,cabik,2
809,betawi,2
810,provokasi,2
811,seram,2
812,preman,2
813,radikalisme,2
814,kpi,2
815,fakta,2
816,ekonomi,2
817,sibuk,2
818,koruptor,2
819,sikap,2
820,haru,2
821,pergi,2
822,nang,2
823,ngeliat,2
824,kepala,2
825,toleransi,2
826,moreppie,2
827,bu,2
828,dijalanin,2
829,dipikirin,2
830,stres,2
831,online,2
832,taksi,2
833,aman,2
834,pasrah,2
835,tembak,2
836,tvshow,2
837,lawyers,2
838,club,2
839,tvone,2
840,teroris,2
841,pelet,2
842,numpang,2
843,dukun,2
844,ank,2
845,permpuan,2
846,sangkut,2
847,poligami,2
848,generasi,2
849,video,2
850,homo,2
851,mreka,2
852,dpt,2
853,nonjolin,2
854,pnyanyi,2
855,nafsu,2
856,jablay,2
857,krna,2
858,fansnya,2
859,utama,2
860,sengaja,2
861,pintar,2
862,hrs,2
863,wkwkwkwkw,2
864,dlu,2
865,pantesan,2
866,tinggalin,2
867,korban,2
868,nyari,2
869,pautin,2
870,haters,2
871,kn,2
872,emas,2
873,hrsnya,2
874,manda,2
875,bgni,2
876,cowo,2
877,lgsg,2
878,begok,2
879,wkwkwk,2
880,jedun,2
881,biarpun,2
882,bain,2
883,bingung,2
884,alah,2
885,akhlak,2
886,pngn,2
887,tegang,2
888,model,2
889,rem,2
890,dlm,2
891,ato,2
892,top,2
893,gausah,2
894,antem,2
895,foto,2
896,kaga,2
897,prihatin,2
898,kesi,2
899,penjara,2
900,kyak,2
901,masyako,2
902,goblog,2
903,netijen,2
904,picik,2
905,manusi,2
906,instagram,2
907,mas,2
908,sosial,2
909,ngungkapin,2
910,unek,2
911,stupid,2
912,perkara,2
913,tukang,2
914,human,2
915,makeup,2
916,sanggup,2
917,baperan,2
918,baper,2
919,muak,2
920,kids,2
921,bijak,2
922,mna,2
923,alim,2
924,pelihara,2
925,tanteibuomaempo,2
926,kerudung,2
927,cermin,2
928,contoh,2
929,indo,2
930,lol,2
931,naruto,2
932,piara,2
933,upil,2
934,sndiri,2
935,teh,2
936,maju,2
937,temen,2
938,class,2
939,koin,2
940,goda,2
941,eehhh,2
942,ambigu,2
943,lahh,2
944,jiwa,2
945,byk,2
946,sopan,2
947,panutan,2
948,ampe,2
949,hahahaha,2
950,idola,2
951,status,2
952,dewasa,2
953,komentar,2
954,musnah,2
955,sumpel,2
956,congor,2
957,mudah,2
958,ratu,2
959,settingan,2
960,nurani,2
961,instastory,2
962,hormat,2
963,miskinjadi,2
964,kacaudh,2
965,tingkah,2
966,hubung,2
967,timah,2
968,belepotan,2
969,smpe,2
970,hijab,2
971,sial,2
972,rupa,2
973,ping,2
974,ngerasa,2
975,btw,2
976,berfikir,2
977,kbanyakan,2
978,dalem,2
979,pesek,2
980,k,2
981,akhirat,2
982,maen,2
983,mentang,2
984,mampus,2
985,mahhhh,2
986,edan,2
987,selangkang,1
988,ampunin,1
989,matanajwadebatjakarta,1
990,kejut,1
991,anaktangsel,1
992,ngintip,1
993,cawagub,1
994,cun,1
995,yangg,1
996,sera,1
997,kandang,1
998,tuduh,1
999,provokatif,1
1000,pilkada,1
1001,sd,1
1002,thn,1
1003,rekam,1
1004,zaman,1
1005,ahokharusdipenjara,1
1006,terbuktiteruji,1
1007,ellu,1
1008,putar,1
1009,fon,1
1010,cagub,1
1011,kagak,1
1012,harta,1
1013,domba,1
1014,adu,1
1015,imbang,1
1016,diskusi,1
1017,nyetel,1
1018,polisi,1
1019,ahokdjarotdirosi,1
1020,diulangulang,1
1021,reputasi,1
1022,integritas,1
1023,jk,1
1024,ngotorin,1
1025,melayu,1
1026,kp,1
1027,bom,1
1028,lari,1
1029,kilat,1
1030,segitunya,1
1031,sederhana,1
1032,iblis,1
1033,masakan,1
1034,chanel,1
1035,nazarudin,1
1036,inul,1
1037,pancasila,1
1038,pojok,1
1039,ngebor,1
1040,bantai,1
1041,anggota,1
1042,fz,1
1043,pecunpengalaman,1
1044,kemarin,1
1045,bataldebatkarena,1
1046,racun,1
1047,puji,1
1048,gali,1
1049,garingkalah,1
1050,ludah,1
1051,pilgub,1
1052,bravo,1
1053,dicontreng,1
1054,petinggi,1
1055,haram,1
1056,fatwa,1
1057,topik,1
1058,ngadu,1
1059,diapaapain,1
1060,engga,1
1061,gaul,1
1062,simpan,1
1063,skor,1
1064,sendri,1
1065,bobrok,1
1066,sumber,1
1067,kamfungan,1
1068,karnii,1
1069,kisruh,1
1070,jarak,1
1071,musuhudh,1
1072,tres,1
1073,darar,1
1074,kliatan,1
1075,hotmansutapea,1
1076,liar,1
1077,omong,1
1078,tarik,1
1079,pungut,1
1080,sangka,1
1081,mencak,1
1082,kalee,1
1083,folowers,1
1084,duga,1
1085,mayoritas,1
1086,berbelitbelit,1
1087,muter,1
1088,kecuali,1
1089,minceeee,1
1090,tabu,1
1091,eneg,1
1092,rizieq,1
1093,dusta,1
1094,lai,1
1095,busyro,1
1096,dpn,1
1097,mgkn,1
1098,dmana,1
1099,mabok,1
1100,muqoddas,1
1101,helooow,1
1102,libat,1
1103,minoritas,1
1104,bayangin,1
1105,giniotaknya,1
1106,ngamukhidup,1
1107,metromini,1
1108,lembaga,1
1109,ridwan,1
1110,materi,1
1111,comal,1
1112,jembatan,1
1113,pssi,1
1114,petir,1
1115,kerjan,1
1116,sepakbolamiliksiapa,1
1117,ahhh,1
1118,laut,1
1119,kunjung,1
1120,jajah,1
1121,sepakbola,1
1122,manggut,1
1123,atur,1
1124,nana,1
1125,mbk,1
1126,pants,1
1127,ngk,1
1128,ngeselin,1
1129,betina,1
1130,akibatya,1
1131,rayap,1
1132,bukanorg,1
1133,macet,1
1134,kokoh,1
1135,mendongrak,1
1136,putryvanvan,1
1137,boediono,1
1138,robek,1
1139,celana,1
1140,metronome,1
1141,banya,1
1142,hotel,1
1143,langgar,1
1144,staff,1
1145,bajusama,1
1146,diketawain,1
1147,wapresnya,1
1148,rimba,1
1149,anehhh,1
1150,putra,1
1151,seragam,1
1152,dingin,1
1153,posisi,1
1154,ketat,1
1155,lia,1
1156,pokok,1
1157,gimbal,1
1158,pejuangtangguh,1
1159,gelap,1
1160,umpat,1
1161,lilin,1
1162,nyala,1
1163,pidana,1
1164,gracialia,1
1165,deportasi,1
1166,padang,1
1167,geram,1
1168,wna,1
1169,akhlaq,1
1170,sekian,1
1171,dek,1
1172,gunung,1
1173,oknum,1
1174,stop,1
1175,mengatasnama,1
1176,sampan,1
1177,pasir,1
1178,dcekal,1
1179,shinta,1
1180,mua,1
1181,mampir,1
1182,akar,1
1183,apaapa,1
1184,gusdur,1
1185,asuh,1
1186,mingkem,1
1187,hahahahahaha,1
1188,nuriyah,1
1189,anakanak,1
1190,betapa,1
1191,akuuu,1
1192,puisi,1
1193,nomornet,1
1194,astagfirullah,1
1195,terkadang,1
1196,permak,1
1197,upaya,1
1198,emp,1
1199,jua,1
1200,puncak,1
1201,rambut,1
1202,molen,1
1203,mantik,1
1204,buya,1
1205,rela,1
1206,savehmi,1
1207,aksi,1
1208,anarkis,1
1209,mendung,1
1210,teduh,1
1211,safi,1
1212,maarif,1
1213,nasihat,1
1214,uban,1
1215,eep,1
1216,menghimbau,1
1217,partai,1
1218,aagym,1
1219,bintang,1
1220,beliau,1
1221,manyu,1
1222,abi,1
1223,pakar,1
1224,ketua,1
1225,cri,1
1226,pasar,1
1227,konten,1
1228,taxamnesti,1
1229,sesat,1
1230,liberal,1
1231,cat,1
1232,marwah,1
1233,insyaflahwahaimanusia,1
1234,syaiton,1
1235,ahoax,1
1236,dikeluarin,1
1237,air,1
1238,merah,1
1239,batik,1
1240,peci,1
1241,cuantik,1
1242,beken,1
1243,suriah,1
1244,rombengmenjijikangay,1
1245,hitz,1
1246,porno,1
1247,operasi,1
1248,tekcmi,1
1249,cucu,1
1250,misi,1
1251,kick,1
1252,lempar,1
1253,merinding,1
1254,zhonk,1
1255,isolir,1
1256,sepatu,1
1257,peduli,1
1258,belanda,1
1259,sbyudhoyono,1
1260,snmptn,1
1261,melanjhe,1
1262,palingg,1
1263,nyebelin,1
1264,kubur,1
1265,malaikat,1
1266,fahri,1
1267,un,1
1268,bgini,1
1269,bukany,1
1270,dower,1
1271,adil,1
1272,keladi,1
1273,fahrihamzah,1
1274,macan,1
1275,suasana,1
1276,keruh,1
1277,argumentasi,1
1278,perilaku,1
1279,orangorang,1
1280,tvne,1
1281,capek,1
1282,sgja,1
1283,juang,1
1284,segitu,1
1285,sbrpa,1
1286,catet,1
1287,gg,1
1288,gosip,1
1289,rais,1
1290,amin,1
1291,mrsk,1
1292,melempem,1
1293,ompong,1
1294,sp,1
1295,hahaah,1
1296,hermafik,1
1297,bkn,1
1298,formal,1
1299,tamu,1
1300,kaku,1
1301,tebang,1
1302,kakak,1
1303,bangeg,1
1304,cuihhh,1
1305,pilkadadki,1
1306,ketek,1
1307,ngjak,1
1308,sia,1
1309,dh,1
1310,nenek,1
1311,rasain,1
1312,kanker,1
1313,sampahga,1
1314,ngantri,1
1315,ky,1
1316,karniilyas,1
1317,sodara,1
1318,kyknya,1
1319,cover,1
1320,sisi,1
1321,superbodi,1
1322,malahn,1
1323,seduniakarena,1
1324,msk,1
1325,kualifikasi,1
1326,sarjana,1
1327,usik,1
1328,reflyhz,1
1329,ajarin,1
1330,kickandymetrot,1
1331,bakarin,1
1332,perhapean,1
1333,bumi,1
1334,haduuh,1
1335,dewan,1
1336,koar,1
1337,neng,1
1338,psikolog,1
1339,gajah,1
1340,fisik,1
1341,kamus,1
1342,kawinmahar,1
1343,suer,1
1344,tangan,1
1345,sesungguhny,1
1346,endingnya,1
1347,romantis,1
1348,filmfilm,1
1349,factrica,1
1350,image,1
1351,tontonlogan,1
1352,nyakaya,1
1353,scene,1
1354,postcredit,1
1355,marvel,1
1356,besut,1
1357,itutertidur,1
1358,balap,1
1359,greget,1
1360,balikanhadewwntar,1
1361,prilly,1
1362,sebenernya,1
1363,puas,1
1364,nyalahin,1
1365,cowopadahal,1
1366,rangers,1
1367,power,1
1368,campur,1
1369,produser,1
1370,black,1
1371,embel,1
1372,covenant,1
1373,ekspetasi,1
1374,begadang,1
1375,smpai,1
1376,malem,1
1377,geblek,1
1378,derita,1
1379,budgetnya,1
1380,rumit,1
1381,creepy,1
1382,insidious,1
1383,bumbu,1
1384,seksi,1
1385,trsa,1
1386,rusia,1
1387,aktris,1
